instance,n_nodes,capacity,vehicles,depot,time_limit_s,total_distance,solved_ms,best_cost,best_time_ms,log_file
X-n1001-k43,1001,131,80,0,300,79284,300012,79284,121140,X-n1001-k43_t300.log
X-n101-k25,101,206,40,0,300,28054,300001,28054,282536,X-n101-k25_t300.log
X-n106-k14,106,600,30,0,300,26775,300001,26775,56793,X-n106-k14_t300.log
X-n120-k6,120,21,15,0,300,13545,300003,13545,14151,X-n120-k6_t300.log
X-n134-k13,134,643,25,0,300,11151,300002,11151,174852,X-n134-k13_t300.log
X-n256-k16,256,1225,30,0,300,19714,300003,19714,257248,X-n256-k16_t300.log
X-n548-k50,548,11,80,0,300,88687,300003,88687,26679,X-n548-k50_t300.log
