instance,n_nodes,capacity,vehicles,depot,time_limit_s,total_distance,solved_ms,best_cost,best_time_ms,log_file,bks_cost,gap_final_pct,gap_best_pct
X-n1001-k43,1001,131,43,0,300,127148,300004,127148,300004,X-n1001-k43_t300.log,72355,75.73,75.73
X-n101-k25,101,206,25,0,300,29089,300004,29089,300004,X-n101-k25_t300.log,27591,5.43,5.43
X-n106-k14,106,600,14,0,300,27545,300002,27545,300002,X-n106-k14_t300.log,26362,4.49,4.49
X-n120-k6,120,21,6,0,300,14839,300018,14839,300018,X-n120-k6_t300.log,13332,11.30,11.30
X-n134-k13,134,643,13,0,300,12260,300002,12260,300002,X-n134-k13_t300.log,10916,12.31,12.31
X-n256-k16,256,1225,16,0,300,26007,300008,26007,300008,X-n256-k16_t300.log,18839,38.05,38.05
X-n548-k50,548,11,50,0,300,123186,300005,123186,300005,X-n548-k50_t300.log,86700,42.08,42.08
