instance,n_nodes,capacity,vehicles,depot,time_limit_s,total_distance,solved_ms,best_cost,best_time_ms,log_file
X-n1001-k43,1001,131,43,0,300,173071,300002,173071,300002,X-n1001-k43_t300.log
X-n101-k25,101,206,25,0,300,29935,300001,29935,300001,X-n101-k25_t300.log
X-n106-k14,106,600,14,0,300,29060,300001,29060,300001,X-n106-k14_t300.log
X-n120-k6,120,21,6,0,300,16586,300002,16586,300002,X-n120-k6_t300.log
X-n134-k13,134,643,13,0,300,14045,300001,14045,300001,X-n134-k13_t300.log
X-n256-k16,256,1225,16,0,300,34383,300002,34383,300002,X-n256-k16_t300.log
X-n548-k50,548,11,50,0,300,140627,300015,140627,300015,X-n548-k50_t300.log
