instance,n_nodes,capacity,vehicles,depot,time_limit_s,total_distance,solved_ms,best_cost,best_time_ms,log_file,bks_cost,gap_final_pct,gap_best_pct
X-n1001-k43,1001,131,43,0,300,95008,324868,95008,324868,X-n1001-k43_t300.log,72355,31.31,31.31
X-n101-k25,101,206,25,0,300,28410,300048,28410,300048,X-n101-k25_t300.log,27591,2.97,2.97
X-n106-k14,106,600,14,0,300,27431,300085,27431,300085,X-n106-k14_t300.log,26362,4.06,4.06
X-n120-k6,120,21,6,0,300,14000,300209,14000,300209,X-n120-k6_t300.log,13332,5.01,5.01
X-n134-k13,134,643,13,0,300,11794,300062,11794,300062,X-n134-k13_t300.log,10916,8.04,8.04
X-n256-k16,256,1225,16,0,300,21972,300632,21972,300632,X-n256-k16_t300.log,18839,16.63,16.63
X-n548-k50,548,11,50,0,300,104094,301309,104094,301309,X-n548-k50_t300.log,86700,20.06,20.06
