instance,n_nodes,capacity,vehicles,depot,time_limit_s,total_distance,solved_ms,best_cost,best_time_ms,log_file
A-n32-k5,32,100,5,0,30,885,30000,885,30000,A-n32-k5_t30.log
A-n33-k6,33,100,6,0,30,767,30000,767,30000,A-n33-k6_t30.log
A-n36-k5,36,100,5,0,30,835,30000,835,30000,A-n36-k5_t30.log
A-n39-k5,39,100,5,0,30,893,30000,893,30000,A-n39-k5_t30.log
A-n44-k6,44,100,6,0,30,1047,30001,1047,30001,A-n44-k6_t30.log
B-n50-k7,50,100,7,0,30,857,30000,857,30000,B-n50-k7_t30.log
E-n30-k3,30,4500,3,0,30,508,30001,508,30001,E-n30-k3_t30.log
E-n33-k4,33,8000,4,0,30,887,30000,887,30000,E-n33-k4_t30.log
P-n16-k8,16,35,8,0,30,451,30020,451,30020,P-n16-k8_t30.log
P-n22-k2,22,160,2,0,30,218,30000,218,30000,P-n22-k2_t30.log
P-n45-k5,45,150,5,0,30,588,30001,588,30001,P-n45-k5_t30.log
P-n50-k10,50,100,10,0,30,781,30001,781,30001,P-n50-k10_t30.log
