instance,n_nodes,capacity,vehicles,depot,time_limit_s,total_distance,solved_ms,best_cost,best_time_ms,log_file
A-n32-k5,32,100,5,0,2,784,2013,784,33,A-n32-k5_t2.log
A-n33-k6,33,100,6,0,2,743,2003,743,381,A-n33-k6_t2.log
A-n36-k5,36,100,5,0,2,812,2001,812,264,A-n36-k5_t2.log
A-n39-k5,39,100,5,0,2,833,2000,833,299,A-n39-k5_t2.log
A-n44-k6,44,100,6,0,2,957,2001,957,304,A-n44-k6_t2.log
B-n50-k7,50,100,7,0,2,741,2001,741,1709,B-n50-k7_t2.log
E-n30-k3,30,4500,3,0,2,534,2001,534,39,E-n30-k3_t2.log
E-n33-k4,33,8000,4,0,2,835,2000,835,16,E-n33-k4_t2.log
P-n16-k8,16,35,8,0,2,450,2001,450,10,P-n16-k8_t2.log
P-n22-k2,22,160,2,0,2,216,2001,216,15,P-n22-k2_t2.log
P-n45-k5,45,150,5,0,2,510,2001,510,810,P-n45-k5_t2.log
P-n50-k10,50,100,10,0,2,707,2002,707,235,P-n50-k10_t2.log
