instance,n_nodes,capacity,vehicles,depot,time_limit_s,total_distance,solved_ms,log_file,bks_cost,gap_pct
A-n32-k5,32,100,5,0,30,796,14,A-n32-k5_t30.log,784,1.53
A-n33-k6,33,100,6,0,30,743,20,A-n33-k6_t30.log,742,0.13
A-n36-k5,36,100,5,0,30,868,18,A-n36-k5_t30.log,799,8.64
A-n39-k5,39,100,5,0,30,852,18,A-n39-k5_t30.log,822,3.65
A-n44-k6,44,100,6,0,30,1015,27,A-n44-k6_t30.log,937,8.32
B-n50-k7,50,100,7,0,30,744,42,B-n50-k7_t30.log,741,0.40
E-n30-k3,30,4500,3,0,30,539,12,E-n30-k3_t30.log,534,0.94
E-n33-k4,33,8000,4,0,30,874,23,E-n33-k4_t30.log,835,4.67
P-n16-k8,16,35,8,0,30,450,7,P-n16-k8_t30.log,450,0.00
P-n22-k2,22,160,2,0,30,217,8,P-n22-k2_t30.log,216,0.46
P-n45-k5,45,150,5,0,30,554,18,P-n45-k5_t30.log,510,8.63
P-n50-k10,50,100,10,0,30,727,30,P-n50-k10_t30.log,696,4.45
